State,District,Confirmed,Recovered,Deaths,Active
Madhya Pradesh,Agar Malwa,4,4,0,0
Madhya Pradesh,Alirajpur,1,1,0,0
Madhya Pradesh,Anuppur,0,0,0,0
Madhya Pradesh,Ashoknagar,0,0,0,0
Madhya Pradesh,Balaghat,0,0,0,0
Madhya Pradesh,Barwani,22,22,0,0
Madhya Pradesh,Betul,2,2,0,0
Madhya Pradesh,Bhind,0,0,0,0
Madhya Pradesh,Bhopal,197,193,0,4
Madhya Pradesh,Burhanpur,0,0,0,0
Madhya Pradesh,Chhatarpur,0,0,0,0
Madhya Pradesh,Chhindwara,4,3,0,1
Madhya Pradesh,Damoh,0,0,0,0
Madhya Pradesh,Datia,0,0,0,0
Madhya Pradesh,Dewas,18,13,0,5
Madhya Pradesh,Dhar,10,10,0,0
Madhya Pradesh,Dindori,0,0,0,0
Madhya Pradesh,Khandwa,33,33,0,0
Madhya Pradesh,Guna,0,0,0,0
Madhya Pradesh,Gwalior,6,6,0,0
Madhya Pradesh,Harda,0,0,0,0
Madhya Pradesh,Hoshangabad,19,19,0,0
Madhya Pradesh,Indore,841,805,0,36
Madhya Pradesh,Jabalpur,13,9,4,0
Madhya Pradesh,Jhabua,0,0,0,0
Madhya Pradesh,Katni,0,0,0,0
Madhya Pradesh,Mandla,0,0,0,0
Madhya Pradesh,Mandsaur,8,8,0,0
Madhya Pradesh,Morena,14,14,0,0
Madhya Pradesh,Narsimhapur,0,0,0,0
Madhya Pradesh,Neemuch,0,0,0,0
Madhya Pradesh,Niwari,0,0,0,0
Madhya Pradesh,Panna,0,0,0,0
Madhya Pradesh,Raisen,8,8,0,0
Madhya Pradesh,Rajgarh,0,0,0,0
Madhya Pradesh,Ratlam,12,12,0,0
Madhya Pradesh,Rewa,0,0,0,0
Madhya Pradesh,Sagar,1,1,0,0
Madhya Pradesh,Satna,2,2,0,0
Madhya Pradesh,Sehore,0,0,0,0
Madhya Pradesh,Seoni,0,0,0,0
Madhya Pradesh,Shahdol,0,0,0,0
Madhya Pradesh,Shajapur,5,5,0,0
Madhya Pradesh,Sheopur,3,3,0,0
Madhya Pradesh,Shivpuri,2,2,0,0
Madhya Pradesh,Sidhi,0,0,0,0
Madhya Pradesh,Singrauli,0,0,0,0
Madhya Pradesh,Tikamgarh,1,1,0,0
Madhya Pradesh,Ujjain,31,29,0,2
Madhya Pradesh,Umaria,0,0,0,0
Madhya Pradesh,Vidisha,13,13,0,0
Madhya Pradesh,Khargone,39,38,0,1
