dt_code,district
467,Burhanpur
456,Seoni
465,Alirajpur
455,Chhindwara
448,Harda
440,Khargone
466,Khandwa
457,Balaghat
441,Barwani
447,Betul
419,Morena
420,Bhind
421,Gwalior
418,Sheopur
423,Shivpuri
424,Tikamgarh
432,Neemuch
430,Rewa
429,Satna
458,Guna
459,Ashoknagar
433,Mandsaur
463,Singrauli
462,Sidhi
427,Sagar
428,Damoh
436,Shajapur
443,Vidisha
442,Rajgarh
460,Shahdol
450,Katni
431,Umaria
434,Ratlam
444,Bhopal
435,Ujjain
446,Raisen
445,Sehore
451,Jabalpur
437,Dewas
461,Anuppur
464,Jhabua
453,Dindori
452,Narsimhapur
438,Dhar
439,Indore
454,Mandla
449,Hoshangabad
724,Agar Malwa
422,Datia
425,Chhatarpur
426,Panna
782,Niwari
