Dt_Code,District,Confirmed
467,Burhanpur,0
456,Seoni,0
465,Alirajpur,0
455,Chhindwara,2
448,Harda,0
440,Khargone,14
466,Khandwa,5
457,Balaghat,0
441,Barwani,14
447,Betul,1
419,Morena,13
420,Bhind,0
421,Gwalior,6
418,Sheopur,1
423,Shivpuri,2
424,Tikamgarh,0
432,Neemuch,0
430,Rewa,0
429,Satna,0
458,Guna,0
459,Ashoknagar,0
433,Mandsaur,0
463,Singrauli,0
462,Sidhi,0
427,Sagar,1
428,Damoh,0
436,Shajapur,1
443,Vidisha,24
442,Rajgarh,0
460,Shahdol,0
450,Katni,0
431,Umaria,0
434,Ratlam,0
444,Bhopal,116
435,Ujjain,15
446,Raisen,1
445,Sehore,0
451,Jabalpur,9
437,Dewas,3
461,Anuppur,0
464,Jhabua,0
453,Dindori,0
452,Narsimhapur,0
438,Dhar,1
439,Indore,235
454,Mandla,0
449,Hoshangabad,6
724,Agar Malwa,0
422,Datia,0
425,Chhatarpur,0
426,Panna,0
782,Niwari,0
